decimalLatitude decimalLongitude scientificName
6.2367 -75.5806 "Buteo magnirostris"
6.503628 -75.744895 "Buteo magnirostris"
9.5833 -75.6667 "Buteo magnirostris"
1.8166 -78.7666 "Buteo magnirostris"
7.4666 -74.9 "Buteo magnirostris"
2.5333 -76.95 "Buteo magnirostris"
7.48476 -74.867996 "Buteo magnirostris"
6.0833 -77.416092 "Buteo magnirostris"
6.4333 -75.3333 "Buteo magnirostris"
6.775 -75.3917 "Buteo magnirostris"
3.38 -74.04 "Buteo magnirostris"
5.926454 -75.676213 "Buteo magnirostris"
6.966806 -75.429117 "Buteo magnirostris"
3.292424 -76.523888 "Buteo magnirostris"
5.094503 -75.533589 "Buteo magnirostris"
5.094503 -75.533589 "Buteo magnirostris"
9.5833 -75.6667 "Buteo magnirostris"
4.966667 -74.433333 "Buteo magnirostris"
7.08247 -75.156233 "Buteo magnirostris"
5.9166 -75.6833 "Buteo magnirostris"
6.775 -75.3917 "Buteo magnirostris"
3.292424 -76.523888 "Buteo magnirostris"
7.4666 -74.9 "Buteo magnirostris"
7.4666 -74.9 "Buteo magnirostris"
6.1672 -75.58325 "Buteo magnirostris"
6.03366 -75.15 "Buteo magnirostris"
5.9166 -75.6833 "Buteo magnirostris"
6.0256 -75.3931 "Buteo magnirostris"
6.25 -76.3333 "Buteo magnirostris"
2.587786 -77.891648 "Elanoides forficatus"
6.77417 -74.51783 "Elanoides forficatus"
2.5333 -76.95 "Elanoides forficatus"
3.8 -76.5 "Elanoides forficatus"
2.562833 -72.5666 "Elanoides forficatus"
1.833 -77.9167 "Elanoides forficatus"
6.16763 -75.13322 "Elanoides forficatus"
2.5333 -76.95 "Elanoides forficatus"
1.833 -77.9167 "Elanoides forficatus"
5.9166 -75.6833 "Elanoides forficatus"
6.1258 -75.8489 "Chondrohierax uncinatus"
5.9166 -75.6833 "Chondrohierax uncinatus"
9.5833 -75.6667 "Chondrohierax uncinatus"
6.77417 -74.51783 "Leptodon cayanensis"
8.56735 -76.8177 "Leptodon cayanensis"
1.833 -77.9167 "Leptodon cayanensis"
5.63 -73.569999 "Accipiter striatus"
5.8136 -75.7908 "Accipiter striatus"
6.9166 -75.8333 "Accipiter striatus"
6.25 -74.966667 "Accipiter striatus"
8.2831 -76.9667 "Buteo nitidus"
7.257222 -75.759444 "Buteo nitidus"
4.758699 -75.56 "Buteo nitidus"
10.409072 -74.402529 "Buteo nitidus"
9.1166 -74.6 "Buteo nitidus"
9.5833 -75.6667 "Buteo nitidus"
10.965321 -72.75965 "Buteo nitidus"
10.938944 -74.730248 "Rostrhamus sociabilis"
9.4166 -75.702298 "Rostrhamus sociabilis"
5.083 -75.5 "Rostrhamus sociabilis"
5.96731 -74.96328 "Rostrhamus sociabilis"
3.299215 -76.523247 "Rostrhamus sociabilis"
11.2666 -73.3833 "Rostrhamus sociabilis"
6.5166 -75.5 "Rostrhamus sociabilis"
9.5833 -75.6667 "Rostrhamus sociabilis"
10.25 -75.35 "Buteogallus meridionalis"
10.938944 -74.730248 "Buteogallus meridionalis"
6.9742 -71.0156 "Buteogallus meridionalis"
9.5833 -75.6667 "Buteogallus meridionalis"
9.5833 -75.6667 "Buteogallus meridionalis"
8.35 -75.1 "Buteogallus meridionalis"
9.5833 -75.6667 "Buteogallus meridionalis"
9.5833 -75.6667 "Buteogallus meridionalis"
10.409072 -74.402529 "Buteogallus meridionalis"
8.35 -75.1 "Buteogallus meridionalis"
9.5833 -75.6667 "Buteogallus meridionalis"
11.049794 -72.669859 "Buteogallus meridionalis"
8.35 -75.1 "Buteogallus urubitinga"
9.5833 -75.6667 "Buteogallus urubitinga"
6.031 -77.35 "Buteogallus urubitinga"
9.5833 -75.6667 "Buteogallus urubitinga"
8.35 -75.1 "Buteogallus urubitinga"
8.7833 -75.7833 "Buteogallus urubitinga"
6.0833 -77.416092 "Buteogallus urubitinga"
